character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
K,U+004B,LATIN CAPITAL LETTER K,Lu,Basic Latin,3984,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#141: 要是Snake，就是“Snake-yan”。也可以叫我“Kazu-yan”。 || YPK_GTT/1C677327#32: 我来模仿凤尾绿咬鹃的叫声。Kyohhh！Kyohhh！ || YPK_GTT/1C677327#33: Kyohhh！Kyohhh！Kyohhh！…凤尾绿咬鹃大概就是这种叫声。 || YPK_GTT/1C677327#34: Kyohhh！Kyohhh！Kyohhh！…怎么样？很像真的吧？ || YPK_GTT/1C677327#40: 凤尾绿咬鹃是这样叫的——Kyohhh！Kyohhh！,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
L,U+004C,LATIN CAPITAL LETTER L,Lu,Basic Latin,7197,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#76: 拜托，救救FSLNFRENTE的士兵。 || YPK_GTT/1C0FB26B#135: 很好！接下来赶往回收地点GOAL！ || YPK_GTT/1C0FB26B#165: 指挥官居然这么闲……在FSLNFRENTE可不可能这样。 || YPK_GTT/1C0FB26B#182: 目标是让所有士兵投降HOLDUP……拜托，别伤害任何人。 || YPK_GTT/1C0FB26B#183: 这次的目标是让所有士兵投降HOLDUP。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
M,U+004D,LATIN CAPITAL LETTER M,Lu,Basic Latin,12186,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#30: 看到什么了吗？难道是UMA！？ || YPK_GTT/1C0FB26B#40: 原来幽灵FANTASMA真的存在。 || YPK_GTT/1C0FB26B#41: 快拍下幽灵FANTASMA的照片。我也想看看。 || YPK_GTT/1C0FB26B#77: 拜托，快找到同志COMPA！ || YPK_GTT/1C0FB26B#79: 拜托！无论如何都要救出同志COMPA！,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
N,U+004E,LATIN CAPITAL LETTER N,Lu,Basic Latin,8206,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#24: 是终结THEEND。 || YPK_GTT/1C0FB26B#40: 原来幽灵FANTASMA真的存在。 || YPK_GTT/1C0FB26B#41: 快拍下幽灵FANTASMA的照片。我也想看看。 || YPK_GTT/1C0FB26B#76: 拜托，救救FSLNFRENTE的士兵。 || YPK_GTT/1C0FB26B#165: 指挥官居然这么闲……在FSLNFRENTE可不可能这样。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
O,U+004F,LATIN CAPITAL LETTER O,Lu,Basic Latin,12758,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#77: 拜托，快找到同志COMPA！ || YPK_GTT/1C0FB26B#79: 拜托！无论如何都要救出同志COMPA！ || YPK_GTT/1C0FB26B#88: 绝不能抛下完成危险任务的同伴。全力掩护COVER他撤离。 || YPK_GTT/1C0FB26B#135: 很好！接下来赶往回收地点GOAL！ || YPK_GTT/1C0FB26B#159: 被发现就GameOver。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
P,U+0050,LATIN CAPITAL LETTER P,Lu,Basic Latin,8553,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#77: 拜托，快找到同志COMPA！ || YPK_GTT/1C0FB26B#79: 拜托！无论如何都要救出同志COMPA！ || YPK_GTT/1C0FB26B#141: 你问“Puuyan”是什么意思？“yan”在关西话里差不多相当于“先生”。 || YPK_GTT/1C0FB26B#182: 目标是让所有士兵投降HOLDUP……拜托，别伤害任何人。 || YPK_GTT/1C0FB26B#183: 这次的目标是让所有士兵投降HOLDUP。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
Q,U+0051,LATIN CAPITAL LETTER Q,Lu,Basic Latin,510,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#103: 要审问，就先用CQC控制住对方，再按。 || YPK_GTT/1C0FB26B#104: 要审问，就先用CQC控制住对方，再按。 || YPK_GTT/1C7679A5#142: 要使用CQC，在敌人附近按。 || YPK_GTT/1C7679A5#303: 万一发生战斗，CQC也能派上用场。 || YPK_GTT/1C79F3ED#7: 可以和MSF士兵进行CQC训练。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
R,U+0052,LATIN CAPITAL LETTER R,Lu,Basic Latin,10032,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#76: 拜托，救救FSLNFRENTE的士兵。 || YPK_GTT/1C0FB26B#88: 绝不能抛下完成危险任务的同伴。全力掩护COVER他撤离。 || YPK_GTT/1C0FB26B#118: 用C4炸掉集装箱TARGET。 || YPK_GTT/1C0FB26B#165: 指挥官居然这么闲……在FSLNFRENTE可不可能这样。 || YPK_GTT/1C0FB26B#189: 要找出狙击手SNIPER很困难……但别放弃，让他们失去战斗能力。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
S,U+0053,LATIN CAPITAL LETTER S,Lu,Basic Latin,13864,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#14: 任务完成。干得好，Snake。 || YPK_GTT/1C0FB26B#21: Snake，怎么了？听不到吗？ || YPK_GTT/1C0FB26B#22: 小心，Snake。根据我的调查，那里有……！ || YPK_GTT/1C0FB26B#40: 原来幽灵FANTASMA真的存在。 || YPK_GTT/1C0FB26B#41: 快拍下幽灵FANTASMA的照片。我也想看看。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
T,U+0054,LATIN CAPITAL LETTER T,Lu,Basic Latin,14836,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#24: 是终结THEEND。 || YPK_GTT/1C0FB26B#40: 原来幽灵FANTASMA真的存在。 || YPK_GTT/1C0FB26B#41: 快拍下幽灵FANTASMA的照片。我也想看看。 || YPK_GTT/1C0FB26B#76: 拜托，救救FSLNFRENTE的士兵。 || YPK_GTT/1C0FB26B#118: 用C4炸掉集装箱TARGET。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
U,U+0055,LATIN CAPITAL LETTER U,Lu,Basic Latin,4011,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#30: 看到什么了吗？难道是UMA！？ || YPK_GTT/1C0FB26B#176: 继续把那些小UFO打下来。 || YPK_GTT/1C0FB26B#177: 用HoldUp控制所有敌人！ || YPK_GTT/1C0FB26B#178: 一旦被发现就完了。用HoldUp控制他们。 || YPK_GTT/1C0FB26B#182: 目标是让所有士兵投降HOLDUP……拜托，别伤害任何人。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
V,U+0056,LATIN CAPITAL LETTER V,Lu,Basic Latin,2293,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#88: 绝不能抛下完成危险任务的同伴。全力掩护COVER他撤离。 || YPK_GTT/1C0FB26B#196: 我们必胜VENCEREMOS！ || YPK_GTT/1C677327#16: 有夜视装置NVG的话，很容易发现隐藏的敌人。 || YPK_GTT/1C79F2AD#13: 它只会捕捉敌兵LIVETARGET。 || YPK_GTT/1C79F36D#5: 我以前也常和朋友爬上屋顶玩。被老爸MIVIEJO发现就会挨揍。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
W,U+0057,LATIN CAPITAL LETTER W,Lu,Basic Latin,1532,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#78: 去研究设施LAB，摧毁PeaceWalker的“大脑”。 || YPK_GTT/1C7AF36D#4: PeaceWalker在地下。用那部电梯。 || YPK_GTT/1C7AF36D#22: 你的目标…是摧毁PeaceWalker的AI舱吧。 || YPK_GTT/1C7AF36D#23: 找到PeaceWalker的机库，摧毁AI舱。 || YPK_GTT/1C7AF36D#24: PeaceWalker的机库应该就在某处。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
X,U+0058,LATIN CAPITAL LETTER X,Lu,Basic Latin,2621,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F42D#11: 保护母基地！制服GearREX！ || YPK_GTT/1C79F42D#51: GearREX也许是在为人类破坏环境敲响警钟…… || YPK_GTT/1C79F42D#78: 恐怕这不会是最后一只。也许还会出现第二、第三只GearREX…… || YPK_GTT/1C79F42D#80: 制服GearREX，保护母基地！ || YPK_GTT/1C79F46D#41: 孤独的FOX追逐着独眼猎犬。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
Y,U+0059,LATIN CAPITAL LETTER Y,Lu,Basic Latin,1508,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/00225520#3112: PRESSKEY || LOOSE_OLANG/00225520#3120: PRESSKEY || LOOSE_OLANG/005184E3#3210: KEYCONFIG || LOOSE_OLANG/005184E3#3231: KEYCONFIG || LOOSE_OLANG/005184E3#3257: 连续按Y按钮！,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
Z,U+005A,LATIN CAPITAL LETTER Z,Lu,Basic Latin,1560,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#236: 找到Zadornov，Snake。 || YPK_GTT/1C0FB26B#237: Zadornov在哪…… || YPK_GTT/1C0FB26B#238: 那些遮蔽物很可疑……Zadornov会不会在那里？ || YPK_GTT/1C0FB26B#240: Zadornov跑哪去了？再爱散步也该有个限度。 || YPK_GTT/1C0FB26B#243: 真是的……Zadornov恐怕连强制收容所LAGER都能逃出去。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
[,U+005B,LEFT SQUARE BRACKET,Ps,Basic Latin,1934,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/0072F326#3920: 所选存储设备的可用空间不足，无法创建系统数据。创建系统数据需要至少[lack_strage_system_capacity]KB可用空间。请连接有足够可用空间的存储设备，是否重试？ || LOOSE_OLANG/0072F326#3921: 所选存储设备的可用空间不足，无法创建存档数据。创建存档数据需要至少[lack_strage_save_capacity]KB可用空间。请连接有足够可用空间的存储设备，是否重试？ || LOOSE_OLANG/007E2F18#4857: 总游戏时间：[total_play_time] || LOOSE_OLANG/007E2F18#5125: 显示器[monitor_number] || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#7570: MemoryStick剩余空间不足。安装系统数据需要可用空间。返回标题菜单后，可从[删除]菜单删除不需要的数据。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
],U+005D,RIGHT SQUARE BRACKET,Pe,Basic Latin,1934,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/0072F326#3920: 所选存储设备的可用空间不足，无法创建系统数据。创建系统数据需要至少[lack_strage_system_capacity]KB可用空间。请连接有足够可用空间的存储设备，是否重试？ || LOOSE_OLANG/0072F326#3921: 所选存储设备的可用空间不足，无法创建存档数据。创建存档数据需要至少[lack_strage_save_capacity]KB可用空间。请连接有足够可用空间的存储设备，是否重试？ || LOOSE_OLANG/007E2F18#4857: 总游戏时间：[total_play_time] || LOOSE_OLANG/007E2F18#5125: 显示器[monitor_number] || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#7570: MemoryStick剩余空间不足。安装系统数据需要可用空间。返回标题菜单后，可从[删除]菜单删除不需要的数据。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
^,U+005E,CIRCUMFLEX ACCENT,Sk,Basic Latin,1,STAGEDAT_OLANG,"STAGEDAT_OLANG/LANG_TITLE_NAMEENTRY.OLANG#22846: 请输入15个字符以内的玩家名称。※只能使用大写英文字母、数字，以及部分符号（!""#$&'()=@[];:,./?_^+-）。",CN_ALREADY_COVERED,NO,YES,NO,YES,NO,YES
_,U+005F,LOW LINE,Pc,Basic Latin,1114,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/0072F326#3920: 所选存储设备的可用空间不足，无法创建系统数据。创建系统数据需要至少[lack_strage_system_capacity]KB可用空间。请连接有足够可用空间的存储设备，是否重试？ || LOOSE_OLANG/0072F326#3921: 所选存储设备的可用空间不足，无法创建存档数据。创建存档数据需要至少[lack_strage_save_capacity]KB可用空间。请连接有足够可用空间的存储设备，是否重试？ || LOOSE_OLANG/007E2F18#4857: 总游戏时间：[total_play_time] || LOOSE_OLANG/007E2F18#5125: 显示器[monitor_number] || LOOSE_OLANG/00C6A046#5715: OVER_MAX_NUM,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
`,U+0060,GRAVE ACCENT,Sk,Basic Latin,1,LOOSE_OLANG,LOOSE_OLANG/00D0C740#5860: CO-OPSMEMBER`SFRIENDS,CN_ALREADY_COVERED,NO,YES,YES,YES,NO,YES
a,U+0061,LATIN SMALL LETTER A,Ll,Basic Latin,7174,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#14: 任务完成。干得好，Snake。 || YPK_GTT/1C0FB26B#21: Snake，怎么了？听不到吗？ || YPK_GTT/1C0FB26B#22: 小心，Snake。根据我的调查，那里有……！ || YPK_GTT/1C0FB26B#44: 幽灵？没兴趣。要是Harpy我倒想看看…… || YPK_GTT/1C0FB26B#141: 你问“Puuyan”是什么意思？“yan”在关西话里差不多相当于“先生”。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
b,U+0062,LATIN SMALL LETTER B,Ll,Basic Latin,720,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#83: 抱歉，只要听到Colibri的歌，我的腿到现在还是会发软…挺丢人的。 || YPK_GTT/1C79F46D#36: 以大佐的资金为基础实现它。就像大战期间ONCE的“Cobra部队”那样。 || YPK_GTT/1C7BF32D#25: 好几个同志COMPA都栽在这家伙手上…干掉Colibri，Snake！ || YPK_GTT/1C7BF32D#26: Snake，干掉Colibri！ || LOOSE_OLANG/00225520#3108: 正在等待TRADE参与者。邀请至XboxLIVE派对会话：,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
c,U+0063,LATIN SMALL LETTER C,Ll,Basic Latin,1850,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#27: 忘了凤尾绿咬鹃的叫声，就用无线电CALL。Cecile会告诉你。 || YPK_GTT/1C677327#78: 去研究设施LAB，摧毁PeaceWalker的“大脑”。 || YPK_GTT/1C79F2ED#0: Chico被关在北边的收容所。 || YPK_GTT/1C79F2ED#11: Chico就在那里。 || YPK_GTT/1C79F2ED#12: 去救Chico吧，Snake。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
d,U+0064,LATIN SMALL LETTER D,Ll,Basic Latin,1428,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#177: 用HoldUp控制所有敌人！ || YPK_GTT/1C0FB26B#178: 一旦被发现就完了。用HoldUp控制他们。 || YPK_GTT/1C0FB26B#236: 找到Zadornov，Snake。 || YPK_GTT/1C0FB26B#237: Zadornov在哪…… || YPK_GTT/1C0FB26B#238: 那些遮蔽物很可疑……Zadornov会不会在那里？,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
e,U+0065,LATIN SMALL LETTER E,Ll,Basic Latin,6774,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#14: 任务完成。干得好，Snake。 || YPK_GTT/1C0FB26B#21: Snake，怎么了？听不到吗？ || YPK_GTT/1C0FB26B#22: 小心，Snake。根据我的调查，那里有……！ || YPK_GTT/1C0FB26B#141: 要是Snake，就是“Snake-yan”。也可以叫我“Kazu-yan”。 || YPK_GTT/1C0FB26B#159: 被发现就GameOver。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
f,U+0066,LATIN SMALL LETTER F,Ll,Basic Latin,171,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,"LOOSE_OLANG/007E2F18#4071: ViewofDeepSnow || LOOSE_OLANG/007E2F18#4075: Confession || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7112: 使咖啡园（CafetalAromaEncantado）指定区域内的所有敌方佣兵失去行动能力。也可采用击晕、睡眠、HoldUp等非杀伤手段。时间限制：13'00""（被敌人发现进入警报状态时-01'00""）目标数：10 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7130: 爆破咖啡园（CafetalAromaEncantado）区域内的所有运输卡车（目标）。目标只能用C4炸弹摧毁。时间限制：05'00""（被敌人发现进入警报状态时-00'30""）必要武器：C4炸弹目标数：2 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7142: 爆破咖啡园（CafetalAromaEncantado）・入口的指定目标。目标只能用C4炸弹摧毁。仅限SINGLE。时间限制：13'00""（被敌人发现进入警报状态时-01'00""）必要武器：C4炸弹目标数：1",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
g,U+0067,LATIN SMALL LETTER G,Ll,Basic Latin,522,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#64: 是写给Strangelove博士的信吗… || YPK_GTT/1C677327#72: 去Strangelove博士的研究所。 || YPK_GTT/1C677327#74: Strangelove博士…会是怎样的人呢？ || YPK_GTT/1C677327#75: Strangelove博士的研究所就在附近。快点，Snake。 || YPK_GTT/1C677327#79: Strangelove博士的研究设施LAB在北边。向北走。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
h,U+0068,LATIN SMALL LETTER H,Ll,Basic Latin,1342,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#228: 这样下去MotherBase会沉没！把导弹打下来！ || YPK_GTT/1C677327#15: 要是MotherBase能造出便携式高性能雷达就好了。 || YPK_GTT/1C677327#32: 我来模仿凤尾绿咬鹃的叫声。Kyohhh！Kyohhh！ || YPK_GTT/1C677327#33: Kyohhh！Kyohhh！Kyohhh！…凤尾绿咬鹃大概就是这种叫声。 || YPK_GTT/1C677327#34: Kyohhh！Kyohhh！Kyohhh！…怎么样？很像真的吧？,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
i,U+0069,LATIN SMALL LETTER I,Ll,Basic Latin,3326,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#27: 忘了凤尾绿咬鹃的叫声，就用无线电CALL。Cecile会告诉你。 || YPK_GTT/1C677327#83: 抱歉，只要听到Colibri的歌，我的腿到现在还是会发软…挺丢人的。 || YPK_GTT/1C677327#88: Jet'aime… || YPK_GTT/1C7679A5#103: 要以SnakeFormation前进，就在同伴附近按。 || YPK_GTT/1C7679A5#104: 在同伴附近按，就能进入SnakeFormation。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
j,U+006A,LATIN SMALL LETTER J,Ll,Basic Latin,19,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#10535: j || STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#10604: [jel] || STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#13171: j || STAGEDAT_OLANG/LANG_VOCALOID_KEYBOARD.OLANG#13240: [jel] || SLOT_OLANG/5D3AFD0D#34095: ‘捉迷藏’结束了。说吧，你是谁？Finidejoueracache-cache.Ditmoiquitues.,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
k,U+006B,LATIN SMALL LETTER K,Ll,Basic Latin,2831,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#14: 任务完成。干得好，Snake。 || YPK_GTT/1C0FB26B#21: Snake，怎么了？听不到吗？ || YPK_GTT/1C0FB26B#22: 小心，Snake。根据我的调查，那里有……！ || YPK_GTT/1C0FB26B#141: 要是Snake，就是“Snake-yan”。也可以叫我“Kazu-yan”。 || YPK_GTT/1C0FB26B#236: 找到Zadornov，Snake。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
l,U+006C,LATIN SMALL LETTER L,Ll,Basic Latin,2947,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#177: 用HoldUp控制所有敌人！ || YPK_GTT/1C0FB26B#178: 一旦被发现就完了。用HoldUp控制他们。 || YPK_GTT/1C677327#27: 忘了凤尾绿咬鹃的叫声，就用无线电CALL。Cecile会告诉你。 || YPK_GTT/1C677327#44: 先卸下Fulton回收装置，再搜身。 || YPK_GTT/1C677327#45: 别想搜身却一不小心把人Fulton回收了。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
m,U+006D,LATIN SMALL LETTER M,Ll,Basic Latin,2305,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#159: 被发现就GameOver。 || YPK_GTT/1C677327#88: Jet'aime… || YPK_GTT/1C7679A5#103: 要以SnakeFormation前进，就在同伴附近按。 || YPK_GTT/1C7679A5#104: 在同伴附近按，就能进入SnakeFormation。 || YPK_GTT/1C7679A5#105: 好，刚才那就是SnakeFormation。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
n,U+006E,LATIN SMALL LETTER N,Ll,Basic Latin,4424,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#14: 任务完成。干得好，Snake。 || YPK_GTT/1C0FB26B#21: Snake，怎么了？听不到吗？ || YPK_GTT/1C0FB26B#22: 小心，Snake。根据我的调查，那里有……！ || YPK_GTT/1C0FB26B#141: 你问“Puuyan”是什么意思？“yan”在关西话里差不多相当于“先生”。 || YPK_GTT/1C0FB26B#141: 要是Snake，就是“Snake-yan”。也可以叫我“Kazu-yan”。,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
o,U+006F,LATIN SMALL LETTER O,Ll,Basic Latin,6242,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#9: 不愧是Boss！真让人佩服。 || YPK_GTT/1C0FB26B#120: 回收Boss的全部装备。我们要尽快救他，快！ || YPK_GTT/1C0FB26B#121: Boss的装备应该还有。全部回收。 || YPK_GTT/1C0FB26B#123: 干得好，这下可以着手营救Boss了！ || YPK_GTT/1C0FB26B#142: 不知怎么……GoGo……突然想吃猪肉了……,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
p,U+0070,LATIN SMALL LETTER P,Ll,Basic Latin,1070,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#44: 幽灵？没兴趣。要是Harpy我倒想看看…… || YPK_GTT/1C0FB26B#177: 用HoldUp控制所有敌人！ || YPK_GTT/1C0FB26B#178: 一旦被发现就完了。用HoldUp控制他们。 || YPK_GTT/1C79F42D#45: 喂，住手！那可是稀有的UMA猫！弄死了Capcom会生气的！ || YPK_GTT/1C7A73ED#66: Pupa头部会频繁使用电击。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
q,U+0071,LATIN SMALL LETTER Q,Ll,Basic Latin,34,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,"STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7070: 拍摄埃雷迪亚中部热带云雾林（CloudForest）中遗迹（RuinasdeXochiquetzal）附近徘徊的幽灵。灵魂会对将声音可视化的雷达产生反应。时间限制：必要武器：必要装备品：相机目标数： || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7223: 回收埃雷迪亚中部热带云雾林（CloudForest）遗迹（RuinasdeXochiquetzal）区域的道具。小心幽灵（Ghost）。禁止使用所有LIFE恢复类道具。时间限制：03'00""（被敌人发现进入警报状态时-00'30""）目标数：3 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7259: 射击遗迹（RuinasdeXochiquetzal）周边的所有靶子（目标）。时间限制：01'00""（射中靶子时+00'03""～+00'07""）目标数：20 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7510: 1974年11月4日，哥伦比亚Barranquilla港沿岸。『无国界军队』MSF总部……。出自MAINOPS『发端/物资搬入设施调查』 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#17609: 拍摄埃雷迪亚中部热带云雾林（CloudForest）中遗迹（RuinasdeXochiquetzal）附近徘徊的幽灵。灵魂会对将声音可视化的雷达产生反应。时间限制：必要武器：必要装备品：相机目标数：",CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
r,U+0072,LATIN SMALL LETTER R,Ll,Basic Latin,3915,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#44: 幽灵？没兴趣。要是Harpy我倒想看看…… || YPK_GTT/1C0FB26B#159: 被发现就GameOver。 || YPK_GTT/1C0FB26B#228: 这样下去MotherBase会沉没！把导弹打下来！ || YPK_GTT/1C0FB26B#236: 找到Zadornov，Snake。 || YPK_GTT/1C0FB26B#237: Zadornov在哪……,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
s,U+0073,LATIN SMALL LETTER S,Ll,Basic Latin,4421,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#9: 不愧是Boss！真让人佩服。 || YPK_GTT/1C0FB26B#120: 回收Boss的全部装备。我们要尽快救他，快！ || YPK_GTT/1C0FB26B#121: Boss的装备应该还有。全部回收。 || YPK_GTT/1C0FB26B#123: 干得好，这下可以着手营救Boss了！ || YPK_GTT/1C0FB26B#166: 大人物就是好啊，这么闲……啊，我可不是说Boss！,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
t,U+0074,LATIN SMALL LETTER T,Ll,Basic Latin,2972,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#228: 这样下去MotherBase会沉没！把导弹打下来！ || YPK_GTT/1C677327#15: 要是MotherBase能造出便携式高性能雷达就好了。 || YPK_GTT/1C677327#44: 先卸下Fulton回收装置，再搜身。 || YPK_GTT/1C677327#45: 别想搜身却一不小心把人Fulton回收了。 || YPK_GTT/1C677327#64: 是写给Strangelove博士的信吗…,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
